2026-03-17 20:55:22 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 21:19:29 | INFO | CI | === RUN START ===
2026-03-17 21:19:29 | INFO | CI | project=NLP
2026-03-17 21:19:29 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 21:19:29 | INFO | CI | python=3.14.3
2026-03-17 21:19:29 | INFO | CI | os=Windows 11
2026-03-17 21:19:29 | INFO | CI | shell=powershell
2026-03-17 21:19:29 | INFO | CI | cwd=.
2026-03-17 21:19:29 | INFO | CI | github_actions=False
2026-03-17 21:19:29 | INFO | CI | START script.....
2026-03-17 21:19:29 | INFO | CI | ROOT_PATH = .
2026-03-17 21:19:29 | INFO | CI | DATA_PATH = data
2026-03-17 21:19:29 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 21:19:29 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 21:54:01 | INFO | CI | === RUN START ===
2026-03-17 21:54:01 | INFO | CI | project=NLP
2026-03-17 21:54:01 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 21:54:01 | INFO | CI | python=3.14.3
2026-03-17 21:54:01 | INFO | CI | os=Windows 11
2026-03-17 21:54:01 | INFO | CI | shell=powershell
2026-03-17 21:54:01 | INFO | CI | cwd=.
2026-03-17 21:54:01 | INFO | CI | github_actions=False
2026-03-17 21:54:01 | INFO | CI | START script.....
2026-03-17 21:54:02 | INFO | CI | ROOT_PATH = .
2026-03-17 21:54:02 | INFO | CI | DATA_PATH = data
2026-03-17 21:54:02 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 21:54:02 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 22:21:16 | INFO | CI | === RUN START ===
2026-03-17 22:21:16 | INFO | CI | project=NLP
2026-03-17 22:21:16 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 22:21:16 | INFO | CI | python=3.14.3
2026-03-17 22:21:16 | INFO | CI | os=Windows 11
2026-03-17 22:21:16 | INFO | CI | shell=powershell
2026-03-17 22:21:16 | INFO | CI | cwd=.
2026-03-17 22:21:16 | INFO | CI | github_actions=False
2026-03-17 22:21:16 | INFO | CI | START script.....
2026-03-17 22:21:16 | INFO | CI | ROOT_PATH = .
2026-03-17 22:21:16 | INFO | CI | DATA_PATH = data
2026-03-17 22:21:16 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 22:21:16 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:48:48 | INFO | CI | === RUN START ===
2026-03-18 10:48:48 | INFO | CI | project=NLP
2026-03-18 10:48:48 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:48:48 | INFO | CI | python=3.14.3
2026-03-18 10:48:48 | INFO | CI | os=Windows 11
2026-03-18 10:48:48 | INFO | CI | shell=powershell
2026-03-18 10:48:48 | INFO | CI | cwd=.
2026-03-18 10:48:48 | INFO | CI | github_actions=False
2026-03-18 10:48:48 | INFO | CI | START script.....
2026-03-18 10:48:48 | INFO | CI | ROOT_PATH = .
2026-03-18 10:48:48 | INFO | CI | DATA_PATH = data
2026-03-18 10:48:48 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:48:48 | INFO | CI | SCRIPTS_PATH = scripts
